"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"Glide Cruises EMEA - Trial Conversion Push","Increase trial-to-paid conversion from 6% to 11%","our customer base","Ready when you are: pick the plan that fits.","social","$210,000","Aug 8, 2026 - 12 week flight","Trial-to-paid conversion: baseline 1.9%, target 5.4%, within 90 days post-launch.","Avoid stacking with seasonal sale; cap combined discount at agreed max. No competitor logos or comparison claims in paid creative."
"PageNest - Event Reg Push","Register 18,007 attendees","Trial users in day 7-14 of free trial, Japan","DevForge Live: where the industry connects.","Influencer, Paid Social (Meta)","$145,000 total","next quarter","Registrations: target 14,049; show-up rate >= 46%; over 30 days.","Mobile-first creative required; desktop is secondary."
"MediBridge Global - Upsell Wave","Upsell 13,415 customers to a higher tier","Adults aged 50-34 with chronic condition flags, Mexico (EU coverage)","Unlock advanced capabilities built for power users.","Direct Mail, Email, PR, Paid Search, Display","$265,000 (media only)","rolling","ARPU lift: baseline $163, target +2.4%, by end of quarter.","FDA fair-balance language required for any branded therapy mention. Landing page must load under 2.5s on 4G."
"Helix Advisory Q4 2026 - Loyalty Boost","Lift repeat purchase rate from 18% to 23%","HR leaders at companies with 500-5000 employees, Benelux","Members earn more. Join today.","Email, PR","$95,000 total","rolling","Program enrollment: target +5.4% vs. baseline, within 90 days post-launch.","Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Tone: confident, helpful, never alarmist. Mobile-first creative required; desktop is secondary."
"Forge Platform US - Seasonal Promo #2","Drive $1,660,449 in incremental revenue during the promo window","young professionals","Our biggest Summer event yet.","online","$64,000 total","Q3 launch","Hit 2,290 sign-ups","TBD with Legal."
"Bundlr EU - Launch #2","Generate 3,455 qualified sign-ups in the first 60 days","Loyalty members aged 40-64 in Benelux (EU coverage)","Introducing the next generation of MarketRise - faster, smarter, built for your team.","SMS, Affiliate, Email, Push Notifications","$105,000 excl. production","Oct 17, 2027 - 12 week flight","New sign-ups: target 13,636 by end of quarter; CPA <= $23.","Do not reference unannounced roadmap items."
"BlueCrest Bank Nordics - Launch","Acquire 191,283 new users within the launch window","Small business banking customers with <$5M annual revenue, Germany (EU coverage)","NorthBridge Bank is here. Get ahead from day one.","Direct Mail, Programmatic","Pending finance approval","Mar 7, 2026 - 12 week flight","New sign-ups: target 7,488 over 30 days; CPA <= $43.","All offers must include APR/APY disclosures and FDIC member language. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Mobile-first creative required; desktop is secondary."
"Quanta Strategy Open Enrollment - Cross-sell Drive","Attach a second product to 3% of single-product customers","our customer base","Bundle and save - smarter together.","Paid Social (LinkedIn), Webinar, Email, Content Syndication, PR","$10,000 (media only)","next quarter","Conversion rate target 14.1%","No major restrictions noted."
"ClearWave - Cross-sell Drive #2","Attach a second product to 7% of single-product customers","Single-line subscribers eligible for family-plan upgrade, APAC","Bundle and save - smarter together.","Display, OOH, Paid Search, Direct Mail, Email","TBD","Jan 1, 2026 - 6 week flight","Attach rate: baseline 1.3%, target 6.8%, over 60 days.","No competitor logos or comparison claims in paid creative. Landing page must load under 2.5s on 4G."
"RetailNext World Q1 2026 - Launch","Drive 8% adoption of the new release among current customers","Practitioners and decision-makers in target verticals, India (EU coverage)","RetailNext World is here. Get ahead from day one.","Webinar, Email, PR, Organic Social, Paid Social (LinkedIn)","$75,000","rolling","New sign-ups: target 9,095 by end of quarter; CPA <= $344.","Localization required for non-English markets; transcreation, not direct translation."
"Coastline Apparel 2026 - Seasonal Promo","Lift conversion rate by 5% vs. prior season baseline","Gen Z shoppers aged 18-26 in UK metros (EU coverage)","Limited time: save big this Tax Season.","Display, Connected TV","$135,000 (media only)","Aug 23, 2026 - 8 week flight","Incremental revenue: target $1,014,453, ROAS >= 3.5, over the campaign flight.","Do not stack with member 20% offer; cap discount at 30% MSRP. Use approved product photography only; lifestyle imagery requires brand review. Video assets capped at 15s for social, 30s for CTV."
"Quanta Strategy - Awareness #3","Reach 2,288,401 unique impressions in target segment","General Counsel and CFOs at mid-market firms, Mexico (EU coverage)","The brand professionals trust.","Content Syndication, PR, Email","Limited budget","TBD","Aided awareness lift: baseline 25%, target +5 pts, over 60 days.","Do not reference unannounced roadmap items."
"Vaulted UK - Cross-sell Drive","Support the broader GTM motion","Gig workers aged 25-54 in Brazil tier-1 cities (EU coverage)","You already love GlideFi. Here's the perfect companion.","Paid Search, Influencer, Paid Social (Meta), Push Notifications, In-app","Pending finance approval","May 2, 2026 - 8 week flight","Attach rate: baseline 1.4%, target 13.3%, over 60 days.","All claims must be reviewed by Compliance and Legal before publication. No competitor logos or comparison claims in paid creative."
"Pinecrest Trust - Launch #2","Drive 5% adoption of the new release among current customers","Mass-affluent customers aged 35-64 with $50K-$250K deposits, Singapore (EU coverage)","Meet BlueCrest Bank: everything you loved, reimagined.","Programmatic, Direct Mail, Paid Search","$340,000 incl. agency fees","May 7, 2026 - 8 week flight","Adoption rate: baseline 0.9%, target 8.5%, measured over 30 days.","All offers must include APR/APY disclosures and FDIC member language. Hero creative must feature flagship product, not bundled SKUs. No animated GIFs in email; static hero only."
"VivaHealth 2026 - App Adoption","Lift weekly active users by 9%","Patients overdue for annual wellness visit, Singapore","Faster, easier, in-app exclusive perks.","PR, Direct Mail, Paid Search, Email","$23,000 (media only)","Mar 16, 2026 - 2 week flight","Installs: target 164,627; D7 retention >= 21%; over 30 days.","FDA fair-balance language required for any branded therapy mention. No competitor logos or comparison claims in paid creative. Mobile-first creative required; desktop is secondary."
"Nimbus Mobile v6 - Renewal Drive","Achieve 88% gross renewal rate","Postpaid customers approaching contract end, Canada","Don't lose access - renew before Dec 23.","OOH, Display","$165,000 (media only)","May 5, 2026 - 8 week flight","Gross renewal rate: baseline 81.7%, target 89.1%, within 90 days post-launch.","CEO and executive quotes require Comms approval. No animated GIFs in email; static hero only."
"Hearth&Home Box - Win-Back #3","Win back 18,456 lapsed customers","Subscribers paused in last 90 days, Canada (EU coverage)","Your spot is still here. Welcome back.","Influencer, Email, Push Notifications, In-app","$220,000 excl. production","Nov 11, 2026 - 8 week flight","Reactivation rate: baseline 2.5%, target 5.6%, by end of quarter.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Exclude high-AOV segments from blanket discounts."
"Beacon Life Back-to-School - Renewal Drive","Renew 1,133 expiring contracts this cycle","Auto policyholders approaching renewal, aged 30-70, Mexico","Don't lose access - renew before Jun 16.","Display, Radio","$110,000 (media only)","May 24, 2026 - 12 week flight","Conversion rate target 7.4%","All quotes must include 'subject to underwriting' language. Tone: confident, helpful, never alarmist."
"PageNest 2027 - Lead Gen","Generate 12,952 MQLs at CPL under $156","Annual plan subscribers approaching renewal, Singapore (EU coverage)","Get the playbook trusted by 500+ teams.","digital","Not specified","Oct 15, 2027 - 2 week flight","Improve CTR vs. last campaign","Tone: confident, helpful, never alarmist."
"Northstar Mutual Fall - Cross-sell Drive","Cross-sell 35,838 eligible customers","Small business owners without cyber liability, Australia","One account, more value.","performance marketing","$61,000","summer push","Reduce CPA","No guaranteed-acceptance language without policy substantiation. Hero creative must feature flagship product, not bundled SKUs."
"Pinecrest Trust Tax Season - Seasonal Promo","Drive $648,354 in incremental revenue during the promo window","Existing checking customers without a credit product, Canada","Limited time: save big this Fall.","performance marketing","$580,000 (media only)","Aug 16, 2026 - 2 week flight","Conversion rate target 6.7%","Reg Z and UDAAP review required prior to launch. UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. Tone: confident, helpful, never alarmist."
"Forge Accounting 2027 - Trial Conversion Push #2","Increase trial-to-paid conversion from 8% to 13%","General Counsel and CFOs at mid-market firms, EMEA","Don't lose what you've built - upgrade today and keep your momentum.","Paid Social (LinkedIn), Email, PR, Content Syndication","$74,000","Sep 4, 2026 - 4 week flight","Trial-to-paid conversion: baseline 2.5%, target 4.5%, over the campaign flight.","Localization required for non-English markets; transcreation, not direct translation."
"Lumio Wallet APAC - Event Reg Push","Hit 43% RSVP-to-attend conversion","First-time investors aged 25-40 in Canada","Save your seat at RetailNext World.","online","Not specified","post-launch window","Baseline 1.2%, improve over time","Required disclosures on rates, fees, and partner bank relationship. No animated GIFs in email; static hero only."
"Stackr Fall - Retention Sprint","Reduce monthly churn from 5.7% to 3.8%","Active app users with 30+ day inactivity, Benelux","Thank you for being a customer - here's something special.","Influencer, Email, Push Notifications","$82,000","Oct 14, 2026 - 8 week flight","Monthly churn: baseline 1.9%, target 1.1%, within 90 days post-launch.","No misleading earnings or returns language. DACH market: double opt-in for email; no purchased lists. CEO and executive quotes require Comms approval. Video assets capped at 15s for social, 30s for CTV."
"InsureCon 2026 - Event Reg Push","Move the needle on conversions this quarter","Practitioners and decision-makers in target verticals, India","Register now - early bird pricing ends soon.","Email, Paid Social (LinkedIn), Organic Social, PR, Webinar","$140,000 (media only)","Oct 12, 2026 - 12 week flight","Registrations: target 3,974; show-up rate >= 44%; by end of quarter.","Video assets capped at 15s for social, 30s for CTV."
